insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Blois')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Norway', 'Trondheim')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Velizh')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Norway', 'Oslo')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Vincennes')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Czech Republic', 'Zbraslav')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ukraine', 'Mukacheve')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Torres Novas')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Paprotnia')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Stare Pole')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Greece', 'Loukísia')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Satinka')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Roue')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Dukhovnitskoye')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Belarus', 'Lyasny')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Swede', 'Linköping')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Elk')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Saint-Quenti')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Toulouse')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Kamieniec')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Chantilly')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Yur’yevets')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Frolovo')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Finland', 'Kihniö')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Koszeci')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Slovenia', 'Poljcane')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ireland', 'Adare')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Lemenhe')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Murganhal')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Monaco', 'Monte-Carlo')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Albania', 'Lekas')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Herby')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Staritsa')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Swede', 'Örnsköldsvik')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Vila Nova')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Poland', 'Dzikowiec')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Monte Leite')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Slovenia', 'Solka')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Novyye Cherëmushki')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Finland', 'Tuusniemi')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Pirogovo')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Swede', 'Hallstavik')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Latvia', 'Limbaži')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Netherlands', 'Amsterdam Noord west')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ukraine', 'Denyshi')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Swede', 'Järna')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'France', 'Schiltigheim')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Bulgaria', 'Suedinenie')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Kola')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ukraine', 'Chutove')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ireland', 'Nava')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Ukraine', 'Berezanka')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Russia', 'Darovskoy')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Odivelas')
insert into Ubicacion (continente, pais, region) VALUES ('Europe', 'Portugal', 'Guimarei')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Colombia', 'Herrá')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Layo')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Salgueiro')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'United States', 'Nashville')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Lagoa Vermelha')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Colombia', 'Urrao')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Panao')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'United States', 'San Antonio')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Formiga')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Colombia', 'Ospina')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Arapongas')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Tuti')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Argentina', 'Deán Funes')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Una')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Gravataí')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Cuba', 'Nueva Gerona')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'United States', 'Nashville')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'El Salvador', 'Ilopango')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Huancaray')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Canada', 'Two Hills')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Canada', 'Mont-Joli')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'São Bento')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Honduras', 'Quebradas')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Esmeraldas')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Bahamas', 'West End')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Colombia', 'Cerrito')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Extrema')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Satipo')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Argentina', 'Gaimá')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Canada', 'Otterburn Park')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Novo Aripuanã')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Canada', 'Val-d''Or')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Forquilhinha')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'Pelotas')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Panama', 'Pueblo Nuevo')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Peru', 'Pallanchacra')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Mexico', 'Benito Juarez')
insert into Ubicacion (continente, pais, region) VALUES ('America', 'Brazil', 'São Sebastião')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Gandusari')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Cuozhou')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Wujiasha')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Moba')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Russia', 'Shumikhinskiy')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Yuanqua')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Merik')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Shunde')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Jialu')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Paritjunus')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Gandusari')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Cibeureum')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Somorpenang')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Israel', 'Dimona')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Liancheng')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Banjar Susut Kaja')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Qiaosi')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Pondoktelo')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Indonesia', 'Oemollo')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Tongzi')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Lianyi')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Armenia', 'Apaga')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Lixiqiao')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Philippines', 'Banocboc')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Fengme')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'China', 'Huangdu')
insert into Ubicacion (continente, pais, region) VALUES ('Asia', 'Japa', 'Nakanojomachi')
